run_id,scenario,seed,algo,served,unserved,wait_mean_min,ride_time_extra_mean_min,time_total_min,dist_total_km,cpu_time_sec
scenario_1__seed1__algobaseline,scenario_1,1,baseline,22,38,3.8768633095320837,2.940953899902823,511.34813566684863,186.0,0.7134261131286621
scenario_1__seed2__algobaseline,scenario_1,2,baseline,23,37,3.669338509704308,3.9058049995665747,506.2233571517704,186.0,0.8336057662963867
scenario_1__seed3__algobaseline,scenario_1,3,baseline,22,38,2.467103797019244,1.7679913746131957,449.4762835344233,174.0,0.9224691390991211
scenario_1__seed4__algobaseline,scenario_1,4,baseline,19,41,2.488533162889625,1.6240601503759389,499.9678443806171,196.0,0.6516587734222412
scenario_1__seed5__algobaseline,scenario_1,5,baseline,20,40,2.0892381310763284,3.2114285714285713,454.5847626215266,180.0,0.6086766719818115
scenario_2__seed1__algobaseline,scenario_2,1,baseline,18,42,5.727866858846972,2.072487846324203,491.5587463163883,170.0,0.456920862197876
scenario_2__seed2__algobaseline,scenario_2,2,baseline,19,41,4.97159938338169,1.2694331197760815,497.7746739985379,178.0,0.5392482280731201
scenario_2__seed3__algobaseline,scenario_2,3,baseline,21,39,2.3854307845352896,1.8690466369384429,492.8369036180982,192.0,0.5516872406005859
scenario_2__seed4__algobaseline,scenario_2,4,baseline,18,42,3.933271636971532,2.2720174640086306,558.3417466083447,218.0,0.443554162979126
scenario_2__seed5__algobaseline,scenario_2,5,baseline,16,44,3.330628642197852,1.5000000000000004,458.3186297037371,180.0,0.439206600189209
scenario_3__seed1__algobaseline,scenario_3,1,baseline,28,32,1.6699213726462523,2.208163265306122,671.214941291238,276.0,1.063338279724121
scenario_3__seed2__algobaseline,scenario_3,2,baseline,28,32,2.2013498083641916,3.920142299432587,569.0663660627688,222.0,1.0693552494049072
scenario_3__seed3__algobaseline,scenario_3,3,baseline,24,36,2.9033667769304032,4.170617437133847,488.8808026463296,182.0,0.8797717094421387
scenario_3__seed4__algobaseline,scenario_3,4,baseline,24,36,2.4514974897149213,4.517524275664887,602.4930826103009,244.0,0.9442100524902344
scenario_3__seed5__algobaseline,scenario_3,5,baseline,21,39,1.2730546889802408,4.000000000000001,512.5627198971565,216.0,0.7675468921661377
scenario_4__seed1__algobaseline,scenario_4,1,baseline,45,55,2.949100684966063,4.328660815883334,961.5095308234729,362.0,2.888319492340088
scenario_4__seed2__algobaseline,scenario_4,2,baseline,47,53,2.293643988603104,2.393490655153495,1066.7726960357745,412.0,2.668704032897949
scenario_4__seed3__algobaseline,scenario_4,3,baseline,46,54,2.2746899011838844,2.502082204643763,1035.6071640258872,418.0,3.4589593410491943
scenario_4__seed4__algobaseline,scenario_4,4,baseline,43,57,2.8641385662630756,2.933299449529273,964.7579583493123,362.0,2.5689775943756104
scenario_4__seed5__algobaseline,scenario_4,5,baseline,42,58,1.5877232683342972,2.682379291758386,1046.3415201271835,440.0,2.1522231101989746
scenario_5__seed1__algobaseline,scenario_5,1,baseline,42,58,2.8961724448136223,1.358459508915272,1017.2963855393148,394.0,2.6197898387908936
scenario_5__seed2__algobaseline,scenario_5,2,baseline,35,65,3.4775787549882464,1.1501423030837319,865.2581135674458,324.0,1.6098103523254395
scenario_5__seed3__algobaseline,scenario_5,3,baseline,36,64,3.4389525316578404,1.4016361672566622,890.773719711111,340.0,1.6426658630371094
scenario_5__seed4__algobaseline,scenario_5,4,baseline,36,64,3.9111480891040347,1.9866430097840195,841.4870454934596,302.0,1.8423452377319336
scenario_5__seed5__algobaseline,scenario_5,5,baseline,39,61,2.4852075120894708,0.7531135531135534,922.2945215429179,364.0,2.059568166732788
scenario_6__seed1__algobaseline,scenario_6,1,baseline,55,45,1.808243871159936,4.824429101877179,1130.424841485225,460.0,3.7389307022094727
scenario_6__seed2__algobaseline,scenario_6,2,baseline,57,43,1.5129249312599085,4.9333918279063385,1153.8938639389576,470.0,3.756793737411499
scenario_6__seed3__algobaseline,scenario_6,3,baseline,54,46,1.09489568713219,4.680458872279537,1188.2672242479955,504.0,3.2289576530456543
scenario_6__seed4__algobaseline,scenario_6,4,baseline,51,49,1.8344131482974215,4.704076488145713,1070.3550705631685,424.0,3.34983491897583
scenario_6__seed5__algobaseline,scenario_6,5,baseline,49,51,1.3856399795156997,4.638605134923482,1205.0392161391264,518.0,2.718930721282959
scenario_7__seed1__algobaseline,scenario_7,1,baseline,38,82,2.0702187667912693,3.7556154602683613,840.9540274237825,330.0,3.6348259449005127
scenario_7__seed2__algobaseline,scenario_7,2,baseline,43,77,2.696001424086208,2.1701221929959917,895.2423469499926,342.0,3.7678418159484863
scenario_7__seed3__algobaseline,scenario_7,3,baseline,42,78,1.6791285634180488,2.4072740384856095,813.4948282349867,324.0,5.284113168716431
