run_id,scenario,seed,algo,served,unserved,wait_mean_min,ride_time_extra_mean_min,time_total_min,dist_total_km,cost,cpu_time_sec,cpu_time_grasp_sec,cpu_time_vnd_sec
scenario_1__seed1__algograsp__alpha0.3__ms30__tl120,scenario_1,1,grasp,22.0,38.0,1.7837728118046337,3.8892139077889776,484.5001447168448,194.0,761.026216266535,120.23434734344482,120.23434734344482,0.0
scenario_1__seed1__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_1,1,grasp_vnd,22.0,38.0,1.7837728118046337,3.8892139077889776,482.10014471684474,193.0,761.0210270694872,120.94286060333252,120.23434734344482,0.7085132598876953
scenario_1__seed2__algograsp__alpha0.3__ms30__tl120,scenario_1,2,grasp,23.0,37.0,3.35564441236686,4.53921600435721,538.0941071987235,198.0,741.0923913272702,120.15071392059326,120.15071392059326,0.0
scenario_1__seed2__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_1,2,grasp_vnd,23.0,37.0,3.35564441236686,4.186420973301311,492.5512500558664,178.0,740.9911440794816,121.14535617828369,120.15071392059326,0.9946422576904297
scenario_1__seed3__algograsp__alpha0.3__ms30__tl120,scenario_1,3,grasp,25.0,35.0,2.250067862750468,5.37389162316156,513.6231251401903,198.0,701.0671280940932,120.15125513076782,120.15125513076782,0.0
scenario_1__seed3__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_1,3,grasp_vnd,25.0,35.0,2.442067862750468,6.022567558302182,468.8802679973331,174.0,700.9558607594203,121.31978631019592,120.15125513076782,1.1685311794281006
scenario_1__seed4__algograsp__alpha0.3__ms30__tl120,scenario_1,4,grasp,21.0,39.0,1.938407084019351,2.8499955650689777,495.3351201929778,196.0,781.0428250191958,120.10652279853821,120.10652279853821,0.0
scenario_1__seed4__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_1,4,grasp_vnd,21.0,39.0,1.938407084019351,2.8499955650689777,495.3351201929778,196.0,781.0428250191958,120.6802134513855,120.10652279853821,0.57369065284729
scenario_1__seed5__algograsp__alpha0.3__ms30__tl120,scenario_1,5,grasp,23.0,37.0,2.167098222246341,5.3317077436378435,570.0718305402372,224.0,741.1959032488237,120.11824703216553,120.11824703216553,0.0
scenario_1__seed5__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_1,5,grasp_vnd,23.0,37.0,1.9729093022140014,4.09204209723041,523.376913950922,204.0,741.0934666435193,121.03133368492126,120.11824703216553,0.9130866527557373
scenario_2__seed1__algograsp__alpha0.3__ms30__tl120,scenario_2,1,grasp,20.0,40.0,3.588953517744085,3.379095657047219,513.6076417834531,196.0,801.0362360384112,87.74769258499146,87.74769258499146,0.0
scenario_2__seed1__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_2,1,grasp_vnd,20.0,40.0,3.3465749697184193,2.672307392572013,485.8457851086541,184.0,800.9764782484567,88.30500841140747,87.74769258499146,0.5573158264160156
scenario_2__seed2__algograsp__alpha0.3__ms30__tl120,scenario_2,2,grasp,21.0,39.0,2.7832424361607857,2.918263650340789,576.0480911593766,228.0,781.1839935525758,107.78005266189575,107.78005266189575,0.0
scenario_2__seed2__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_2,2,grasp_vnd,21.0,39.0,2.7832424361607857,3.0815289564632384,536.3338054450908,209.0,781.093621024159,108.34036254882812,107.78005266189575,0.560309886932373
scenario_2__seed3__algograsp__alpha0.3__ms30__tl120,scenario_2,3,grasp,21.0,39.0,2.530041292192948,2.1898370506946425,427.7594385646233,162.0,780.8597293266031,116.10966348648071,116.10966348648071,0.0
scenario_2__seed3__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_2,3,grasp_vnd,21.0,39.0,2.6691099986929525,2.0151315313042257,398.27988140112336,148.0,780.7929225419762,116.93712306022644,116.10966348648071,0.8274595737457275
scenario_2__seed4__algograsp__alpha0.3__ms30__tl120,scenario_2,4,grasp,20.0,40.0,1.9985393907914415,2.050474795110048,564.8850735301146,242.0,801.2101387441737,111.19942593574524,111.19942593574524,0.0
scenario_2__seed4__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_2,4,grasp_vnd,20.0,40.0,1.9985393907914415,2.2904747951100473,545.7422163872575,233.0,801.1669997225229,111.69772815704346,111.19942593574524,0.4983022212982178
scenario_2__seed5__algograsp__alpha0.3__ms30__tl120,scenario_2,5,grasp,18.0,42.0,3.0405360161509045,1.1111111111111125,519.4153625764307,200.0,841.0527074576721,78.73135018348694,78.73135018348694,0.0
scenario_2__seed5__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_2,5,grasp_vnd,18.0,42.0,3.0405360161509045,1.111111111111113,432.1010768621449,161.0,840.8614077513189,79.16664385795593,78.73135018348694,0.43529367446899414
scenario_3__seed1__algograsp__alpha0.3__ms30__tl120,scenario_3,1,grasp,26.0,34.0,1.1299488541650553,4.417582417582419,618.4072416368629,256.0,681.1049687881035,120.13382148742676,120.13382148742676,0.0
scenario_3__seed1__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_3,1,grasp_vnd,26.0,34.0,1.1299488541650553,3.4945054945054945,583.2072416368628,241.0,681.0411340871985,121.29054975509644,120.13382148742676,1.1567282676696777
scenario_3__seed2__algograsp__alpha0.3__ms30__tl120,scenario_3,2,grasp,26.0,34.0,0.8403123071190625,5.105875002381923,577.276691413667,238.0,681.0293423270239,120.24817490577698,120.24817490577698,0.0
scenario_3__seed2__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_3,2,grasp_vnd,26.0,34.0,0.9367712572318964,5.2331031832639905,534.9274812594579,218.0,680.9482587278936,121.86713814735413,120.24817490577698,1.6189632415771484
scenario_3__seed3__algograsp__alpha0.3__ms30__tl120,scenario_3,3,grasp,25.0,35.0,1.2110632802919299,6.691042776898198,518.733724864441,210.0,700.916480940946,120.12526631355286,120.12526631355286,0.0
scenario_3__seed3__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_3,3,grasp_vnd,25.0,35.0,1.5248463008659576,4.1505516444349695,428.74972895022034,166.0,700.7408959174264,123.37453007698059,120.12526631355286,3.2492637634277344
scenario_3__seed4__algograsp__alpha0.3__ms30__tl120,scenario_3,4,grasp,25.0,35.0,3.873041728904443,7.6629900521653385,592.0260432226111,214.0,700.9896750780458,120.16857481002808,120.16857481002808,0.0
scenario_3__seed4__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_3,4,grasp_vnd,25.0,35.0,4.229168358016172,4.549473530107683,524.9863518075471,181.0,700.8583803603123,122.77756237983704,120.16857481002808,2.60898756980896
scenario_3__seed5__algograsp__alpha0.3__ms30__tl120,scenario_3,5,grasp,25.0,35.0,1.0309728318953282,5.892685084767961,642.9171779402402,270.0,701.157214194433,120.142817735672,120.142817735672,0.0
scenario_3__seed5__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_3,5,grasp_vnd,25.0,35.0,0.48332867287390757,4.724476614588469,549.4546453932761,233.0,700.9939224970151,122.02110934257507,120.142817735672,1.8782916069030762
scenario_4__seed1__algograsp__alpha0.3__ms30__tl120,scenario_4,1,grasp,44.0,56.0,1.991588609863124,4.305896181815757,1030.7156131196916,410.0,1121.0217849213152,121.6781177520752,121.6781177520752,0.0
scenario_4__seed1__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_4,1,grasp_vnd,44.0,56.0,2.598047627709622,3.128794630132876,921.5140956192233,351.0,1120.8940190366,136.1942913532257,121.6781177520752,14.516173601150513
scenario_4__seed2__algograsp__alpha0.3__ms30__tl120,scenario_4,2,grasp,43.0,57.0,1.999991607301751,3.543265258981803,1065.8853533996896,428.0,1141.0616776576342,121.55372786521912,121.55372786521912,0.0
scenario_4__seed2__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_4,2,grasp_vnd,43.0,57.0,2.3994478748600656,4.049523941260501,883.0048300475542,340.0,1140.8612575393095,131.7516326904297,121.55372786521912,10.197904825210571
scenario_4__seed3__algograsp__alpha0.3__ms30__tl120,scenario_4,3,grasp,45.0,55.0,2.703499797937252,4.067048483047877,1051.2574909071764,408.0,1101.0293965725607,121.7796745300293,121.7796745300293,0.0
scenario_4__seed3__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_4,3,grasp_vnd,45.0,55.0,3.098023603253495,3.307790379814045,920.1539192892644,342.0,1100.8820651459748,131.15869235992432,121.7796745300293,9.37901782989502
scenario_4__seed4__algograsp__alpha0.3__ms30__tl120,scenario_4,4,grasp,44.0,56.0,1.7290727124181708,4.33820835665357,1023.050627917828,408.0,1121.015501535687,120.44962430000305,120.44962430000305,0.0
scenario_4__seed4__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_4,4,grasp_vnd,44.0,56.0,2.3996706873151252,3.238142623167023,864.7855102418655,325.0,1120.8334760659802,130.0958333015442,120.44962430000305,9.646209001541138
scenario_4__seed5__algograsp__alpha0.3__ms30__tl120,scenario_4,5,grasp,45.0,55.0,1.7897152051824494,3.039756961968111,1049.794327090353,418.0,1101.0412134134651,120.27334213256836,120.27334213256836,0.0
scenario_4__seed5__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_4,5,grasp_vnd,45.0,55.0,2.467644640096645,2.457178484179499,870.3582945186347,326.0,1100.8374750472144,127.7509593963623,120.27334213256836,7.477617263793945
scenario_5__seed1__algograsp__alpha0.3__ms30__tl120,scenario_5,1,grasp,40.0,60.0,1.2276698807274986,2.2190426664515326,960.7639380862428,396.0,1201.1036379884865,120.98626065254211,120.98626065254211,0.0
